# Source of truth for which script a glyph belongs to.
# script: simplified  = has a distinct traditional counterpart (国 <- 國)
#         traditional = has a distinct simplified counterpart  (國 -> 国)
# Anything absent from this file is `both` — unchanged between the scripts (人, 大, 一),
# which is the majority of the dictionary.
#
# counterpart is informational: the opposite-script form(s) Unihan records.
# Generated by scripts/build-script-classification.mjs — do not hand-edit; add an
# OVERRIDE there instead so a regeneration keeps the decision.
glyph	codepoint	script	counterpart	override
赌	U+8D4C	simplified	賭	
赍	U+8D4D	simplified	賫齎	
赎	U+8D4E	simplified	贖	
赏	U+8D4F	simplified	賞	
赐	U+8D50	simplified	賜	
赑	U+8D51	simplified	贔	
赒	U+8D52	simplified	賙	
赓	U+8D53	simplified	賡	
赔	U+8D54	simplified	賠	
赕	U+8D55	simplified	賧	
赖	U+8D56	simplified	賴	
赘	U+8D58	simplified	贅	
赙	U+8D59	simplified	賻	
赚	U+8D5A	simplified	賺	
赛	U+8D5B	simplified	賽	
赜	U+8D5C	simplified	賾	
赝	U+8D5D	simplified	贋贗	
赞	U+8D5E	simplified	贊	
赠	U+8D60	simplified	贈	
赡	U+8D61	simplified	贍	
赢	U+8D62	simplified	贏	
赣	U+8D63	simplified	贛	
赵	U+8D75	simplified	趙	
赶	U+8D76	simplified	趕	
趋	U+8D8B	simplified	趨	
趱	U+8DB1	simplified	趲	
趸	U+8DB8	simplified	躉	
跃	U+8DC3	simplified	躍	
跄	U+8DC4	simplified	蹌	
跞	U+8DDE	simplified	躒	
践	U+8DF5	simplified	踐	
跶	U+8DF6	simplified	躂	
跷	U+8DF7	simplified	蹺	
跸	U+8DF8	simplified	蹕	
跹	U+8DF9	simplified	躚	
跻	U+8DFB	simplified	躋	
踊	U+8E0A	simplified	踴	
踌	U+8E0C	simplified	躊	
踪	U+8E2A	simplified	蹤	
踬	U+8E2C	simplified	躓	
踯	U+8E2F	simplified	躑	
蹑	U+8E51	simplified	躡	
蹒	U+8E52	simplified	蹣	
蹰	U+8E70	simplified	躕	
蹿	U+8E7F	simplified	躥	
躏	U+8E8F	simplified	躪	
躜	U+8E9C	simplified	躦	
躯	U+8EAF	simplified	軀	
车	U+8F66	simplified	車	
轧	U+8F67	simplified	軋	
轨	U+8F68	simplified	軌	
轩	U+8F69	simplified	軒	
轫	U+8F6B	simplified	軔	
转	U+8F6C	simplified	轉	
轭	U+8F6D	simplified	軛	
轮	U+8F6E	simplified	輪	
软	U+8F6F	simplified	軟	
轰	U+8F70	simplified	轟	
轱	U+8F71	simplified	軲	
轲	U+8F72	simplified	軻	
轳	U+8F73	simplified	轤	
轴	U+8F74	simplified	軸	
轵	U+8F75	simplified	軹	
轶	U+8F76	simplified	軼	
轷	U+8F77	simplified	軤	
轸	U+8F78	simplified	軫	
轹	U+8F79	simplified	轢	
轺	U+8F7A	simplified	軺	
轻	U+8F7B	simplified	輕	
轼	U+8F7C	simplified	軾	
载	U+8F7D	simplified	載	
轾	U+8F7E	simplified	輊	
轿	U+8F7F	simplified	轎	
辁	U+8F81	simplified	輇	
辂	U+8F82	simplified	輅	
较	U+8F83	simplified	較	
辄	U+8F84	simplified	輒	
辅	U+8F85	simplified	輔	
辆	U+8F86	simplified	輛	
辇	U+8F87	simplified	輦	
辈	U+8F88	simplified	輩	
辉	U+8F89	simplified	輝	
辊	U+8F8A	simplified	輥	
辋	U+8F8B	simplified	輞	
辌	U+8F8C	simplified	輬	
辍	U+8F8D	simplified	輟	
辎	U+8F8E	simplified	輜	
辏	U+8F8F	simplified	輳	
辐	U+8F90	simplified	輻	
辑	U+8F91	simplified	輯	
辒	U+8F92	simplified	輼轀	
输	U+8F93	simplified	輸	
辔	U+8F94	simplified	轡	
辕	U+8F95	simplified	轅	
辖	U+8F96	simplified	轄	
辗	U+8F97	simplified	輾	
辘	U+8F98	simplified	轆	
辙	U+8F99	simplified	轍	
辚	U+8F9A	simplified	轔	
辞	U+8F9E	simplified	辭	
辟	U+8F9F	simplified	闢	
辩	U+8FA9	simplified	辯	
辫	U+8FAB	simplified	辮	
边	U+8FB9	simplified	邊	
辽	U+8FBD	simplified	遼	
达	U+8FBE	simplified	達	
迁	U+8FC1	simplified	遷	
过	U+8FC7	simplified	過	
迈	U+8FC8	simplified	邁	
运	U+8FD0	simplified	運	
还	U+8FD8	simplified	還	
这	U+8FD9	simplified	這	
进	U+8FDB	simplified	進	
远	U+8FDC	simplified	遠	
违	U+8FDD	simplified	違	
连	U+8FDE	simplified	連	
迟	U+8FDF	simplified	遲	
迩	U+8FE9	simplified	邇	
迳	U+8FF3	simplified	逕	
迹	U+8FF9	simplified	跡	
适	U+9002	simplified	適	
选	U+9009	simplified	選	
逊	U+900A	simplified	遜	
递	U+9012	simplified	遞	
逦	U+9026	simplified	邐	
逻	U+903B	simplified	邏	
遗	U+9057	simplified	遺	
遥	U+9065	simplified	遙	
邓	U+9093	simplified	鄧	
邝	U+909D	simplified	鄺	
邬	U+90AC	simplified	鄔	
邮	U+90AE	simplified	郵	
邹	U+90B9	simplified	鄒	
邺	U+90BA	simplified	鄴	
邻	U+90BB	simplified	鄰	
郁	U+90C1	simplified	鬱	
郏	U+90CF	simplified	郟	
郐	U+90D0	simplified	鄶	
郑	U+90D1	simplified	鄭	
郓	U+90D3	simplified	鄆	
郦	U+90E6	simplified	酈	
郧	U+90E7	simplified	鄖	
郸	U+90F8	simplified	鄲	
酝	U+915D	simplified	醖醞	
酦	U+9166	simplified	醱	
酱	U+9171	simplified	醬	
酽	U+917D	simplified	釅	
酾	U+917E	simplified	釃	
酿	U+917F	simplified	釀	
采	U+91C7	simplified	埰採	
释	U+91CA	simplified	釋	
里	U+91CC	simplified	裏裡	
鉴	U+9274	simplified	鑒	
銮	U+92AE	simplified	鑾	
錾	U+933E	simplified	鏨	
钅	U+9485	simplified	釒	
钆	U+9486	simplified	釓	
钇	U+9487	simplified	釔	
针	U+9488	simplified	針	
钉	U+9489	simplified	釘	
钊	U+948A	simplified	釗	
钋	U+948B	simplified	釙	
钌	U+948C	simplified	釕	
钍	U+948D	simplified	釷	
钎	U+948E	simplified	釺	
钏	U+948F	simplified	釧	
钐	U+9490	simplified	釤	
钒	U+9492	simplified	釩	
钓	U+9493	simplified	釣	
钔	U+9494	simplified	鍆	
钕	U+9495	simplified	釹	
钗	U+9497	simplified	釵	
钙	U+9499	simplified	鈣	
钚	U+949A	simplified	鈈	
钛	U+949B	simplified	鈦	
钜	U+949C	simplified	鉅	
钝	U+949D	simplified	鈍	
钞	U+949E	simplified	鈔	
钟	U+949F	simplified	鍾鐘	
钠	U+94A0	simplified	鈉	
钡	U+94A1	simplified	鋇	
钢	U+94A2	simplified	鋼	
钣	U+94A3	simplified	鈑	
钤	U+94A4	simplified	鈐	
钥	U+94A5	simplified	鑰	
钦	U+94A6	simplified	欽	
钧	U+94A7	simplified	鈞	
钨	U+94A8	simplified	鎢	
钩	U+94A9	simplified	鈎鉤	
钪	U+94AA	simplified	鈧	
钫	U+94AB	simplified	鈁	
钬	U+94AC	simplified	鈥	
钭	U+94AD	simplified	鈄	
钮	U+94AE	simplified	鈕	
钯	U+94AF	simplified	鈀	
钰	U+94B0	simplified	鈺	
钱	U+94B1	simplified	錢	
钲	U+94B2	simplified	鉦	
钳	U+94B3	simplified	鉗	
钴	U+94B4	simplified	鈷	
钵	U+94B5	simplified	缽鉢	
钶	U+94B6	simplified	鈳	
钷	U+94B7	simplified	鉕	
钸	U+94B8	simplified	鈽	
钹	U+94B9	simplified	鈸	
钺	U+94BA	simplified	鉞	
钻	U+94BB	simplified	鑽	
钼	U+94BC	simplified	鉬	
钽	U+94BD	simplified	鉭	
钾	U+94BE	simplified	鉀	
钿	U+94BF	simplified	鈿	
铀	U+94C0	simplified	鈾	
铁	U+94C1	simplified	鐵	
铂	U+94C2	simplified	鉑	
铃	U+94C3	simplified	鈴	
铄	U+94C4	simplified	鑠	
铅	U+94C5	simplified	鉛	
铆	U+94C6	simplified	鉚	
铈	U+94C8	simplified	鈰	
铉	U+94C9	simplified	鉉	
铊	U+94CA	simplified	鉈	
铋	U+94CB	simplified	鉍	
铌	U+94CC	simplified	鈮	
铍	U+94CD	simplified	鈹	
铎	U+94CE	simplified	鐸	
铐	U+94D0	simplified	銬	
铑	U+94D1	simplified	銠	
铒	U+94D2	simplified	鉺	
铓	U+94D3	simplified	鋩	
铕	U+94D5	simplified	銪	
铖	U+94D6	simplified	鋮	
铗	U+94D7	simplified	鋏	
铘	U+94D8	simplified	鋣	
铙	U+94D9	simplified	鐃	
铛	U+94DB	simplified	鐺	
铜	U+94DC	simplified	銅	
铝	U+94DD	simplified	鋁	
铞	U+94DE	simplified	銱	
铟	U+94DF	simplified	銦	
铠	U+94E0	simplified	鎧	
铡	U+94E1	simplified	鍘	
铢	U+94E2	simplified	銖	
铣	U+94E3	simplified	銑	
铤	U+94E4	simplified	鋌	
铥	U+94E5	simplified	銩	
铧	U+94E7	simplified	鏵	
铨	U+94E8	simplified	銓	
铩	U+94E9	simplified	鎩	
铪	U+94EA	simplified	鉿	
铫	U+94EB	simplified	銚	
铬	U+94EC	simplified	鉻	
铭	U+94ED	simplified	銘	
铮	U+94EE	simplified	錚	
铯	U+94EF	simplified	銫	
铰	U+94F0	simplified	鉸	
铱	U+94F1	simplified	銥	
铲	U+94F2	simplified	鏟	
铳	U+94F3	simplified	銃	
铴	U+94F4	simplified	鐋	
铵	U+94F5	simplified	銨	
银	U+94F6	simplified	銀	
铷	U+94F7	simplified	銣	
铸	U+94F8	simplified	鑄	
铹	U+94F9	simplified	鐒	
铺	U+94FA	simplified	鋪	
铼	U+94FC	simplified	錸	
铽	U+94FD	simplified	鋱	
链	U+94FE	simplified	鏈	
铿	U+94FF	simplified	鏗	
销	U+9500	simplified	銷	
锁	U+9501	simplified	鎖	
锂	U+9502	simplified	鋰	
锃	U+9503	simplified	鋥	
锄	U+9504	simplified	鋤	
锅	U+9505	simplified	鍋	
锆	U+9506	simplified	鋯	
锇	U+9507	simplified	鋨	
锈	U+9508	simplified	銹鏽	
锉	U+9509	simplified	銼	
锊	U+950A	simplified	鋝	
锋	U+950B	simplified	鋒	
锌	U+950C	simplified	鋅	
锍	U+950D	simplified	鋶	
锎	U+950E	simplified	鐦	
锏	U+950F	simplified	鐧	
锐	U+9510	simplified	銳鋭	
锑	U+9511	simplified	銻	
锒	U+9512	simplified	鋃	
锓	U+9513	simplified	鋟	
锔	U+9514	simplified	鋦	
锕	U+9515	simplified	錒	
锖	U+9516	simplified	錆	
锗	U+9517	simplified	鍺	
锘	U+9518	simplified	鍩	
错	U+9519	simplified	錯	
锚	U+951A	simplified	錨	
锛	U+951B	simplified	錛	
锝	U+951D	simplified	鍀	
锞	U+951E	simplified	錁	
锟	U+951F	simplified	錕	
锡	U+9521	simplified	錫	
锢	U+9522	simplified	錮	
锣	U+9523	simplified	鑼	
锤	U+9524	simplified	錘	
锥	U+9525	simplified	錐	
锦	U+9526	simplified	錦	
锨	U+9528	simplified	鍁	
锩	U+9529	simplified	錈	
锪	U+952A	simplified	鍃	
锫	U+952B	simplified	錇	
锬	U+952C	simplified	錟	
锭	U+952D	simplified	錠	
键	U+952E	simplified	鍵	
锯	U+952F	simplified	鋸	
锰	U+9530	simplified	錳	
锱	U+9531	simplified	錙	
锲	U+9532	simplified	鍥	
锴	U+9534	simplified	鍇	
锵	U+9535	simplified	鏘	
锶	U+9536	simplified	鍶	
锷	U+9537	simplified	鍔	
锸	U+9538	simplified	鍤	
锹	U+9539	simplified	鍬	
锺	U+953A	simplified	鍾	
锻	U+953B	simplified	鍛	
锼	U+953C	simplified	鎪	
锾	U+953E	simplified	鍰	
锿	U+953F	simplified	鎄	
镀	U+9540	simplified	鍍	
镁	U+9541	simplified	鎂	
镂	U+9542	simplified	鏤	
镄	U+9544	simplified	鐨	
镅	U+9545	simplified	鎇	
镆	U+9546	simplified	鏌	
镇	U+9547	simplified	鎮	
镈	U+9548	simplified	鎛	
镉	U+9549	simplified	鎘	
镊	U+954A	simplified	鑷	
镌	U+954C	simplified	鎸鐫	
镍	U+954D	simplified	鎳	
镎	U+954E	simplified	鎿	
镏	U+954F	simplified	鎦	
镐	U+9550	simplified	鎬	
镑	U+9551	simplified	鎊	
镒	U+9552	simplified	鎰	
镓	U+9553	simplified	鎵	
镔	U+9554	simplified	鑌	
镕	U+9555	simplified	鎔	
镖	U+9556	simplified	鏢	
镗	U+9557	simplified	鏜	
镘	U+9558	simplified	鏝	
镙	U+9559	simplified	鏍	
镚	U+955A	simplified	鏰	
镛	U+955B	simplified	鏞	
镜	U+955C	simplified	鏡	
镝	U+955D	simplified	鏑	
镞	U+955E	simplified	鏃	
镟	U+955F	simplified	鏇	
镡	U+9561	simplified	鐔	
镢	U+9562	simplified	鐝	
镣	U+9563	simplified	鐐	
镤	U+9564	simplified	鏷	
镥	U+9565	simplified	鑥	
镦	U+9566	simplified	鐓	
镧	U+9567	simplified	鑭	
镨	U+9568	simplified	鐠	
镩	U+9569	simplified	鑹	
镪	U+956A	simplified	鏹	
镫	U+956B	simplified	鐙	
镬	U+956C	simplified	鑊	
镭	U+956D	simplified	鐳	
镯	U+956F	simplified	鐲	
镰	U+9570	simplified	鐮	
镱	U+9571	simplified	鐿	
镲	U+9572	simplified	鑔	
镳	U+9573	simplified	鑣	
镴	U+9574	simplified	鑞	
镶	U+9576	simplified	鑲	
长	U+957F	simplified	長	
门	U+95E8	simplified	門	
闩	U+95E9	simplified	閂	
闪	U+95EA	simplified	閃	
闫	U+95EB	simplified	閆	
闭	U+95ED	simplified	閉	
问	U+95EE	simplified	問	
闯	U+95EF	simplified	闖	
闰	U+95F0	simplified	閏	
闱	U+95F1	simplified	闈	
闲	U+95F2	simplified	閑閒	
闳	U+95F3	simplified	閎	
间	U+95F4	simplified	間	
闵	U+95F5	simplified	閔	
闶	U+95F6	simplified	閌	
闷	U+95F7	simplified	悶	
闸	U+95F8	simplified	閘	
闹	U+95F9	simplified	鬧	
闺	U+95FA	simplified	閨	
闻	U+95FB	simplified	聞	
闼	U+95FC	simplified	闥	
闽	U+95FD	simplified	閩	
闾	U+95FE	simplified	閭	
阀	U+9600	simplified	閥	
阁	U+9601	simplified	閣	
阂	U+9602	simplified	閡	
阃	U+9603	simplified	閫	
阄	U+9604	simplified	鬮	
阅	U+9605	simplified	閱閲	
阆	U+9606	simplified	閬	
阇	U+9607	simplified	闍	
阈	U+9608	simplified	閾	
阉	U+9609	simplified	閹	
阊	U+960A	simplified	閶	
阋	U+960B	simplified	鬩	
阌	U+960C	simplified	閿	
阍	U+960D	simplified	閽	
阎	U+960E	simplified	閻	
阏	U+960F	simplified	閼	
阐	U+9610	simplified	闡	
阑	U+9611	simplified	闌	
阒	U+9612	simplified	闃	
阔	U+9614	simplified	闊	
阕	U+9615	simplified	闋	
阖	U+9616	simplified	闔	
阗	U+9617	simplified	闐	
阙	U+9619	simplified	闕	
阚	U+961A	simplified	闞	
队	U+961F	simplified	隊	
阳	U+9633	simplified	陽	
阴	U+9634	simplified	陰	
阵	U+9635	simplified	陣	
阶	U+9636	simplified	階	
际	U+9645	simplified	際	
陆	U+9646	simplified	陸	
陇	U+9647	simplified	隴	
陈	U+9648	simplified	陳	
陉	U+9649	simplified	陘	
陕	U+9655	simplified	陝	
陧	U+9667	simplified	隉	
陨	U+9668	simplified	隕	
险	U+9669	simplified	險	
随	U+968F	simplified	隨	
隐	U+9690	simplified	隱	
隶	U+96B6	simplified	隸	
隽	U+96BD	simplified	雋	
难	U+96BE	simplified	難	
雏	U+96CF	simplified	雛	
雠	U+96E0	simplified	讎	
雳	U+96F3	simplified	靂	
雾	U+96FE	simplified	霧	
霁	U+9701	simplified	霽	
霉	U+9709	simplified	黴	
霡	U+9721	simplified	霢	
霭	U+972D	simplified	靄	
靓	U+9753	simplified	靚	
静	U+9759	simplified	靜	
面	U+9762	simplified	麵	
靥	U+9765	simplified	靨	
鞑	U+9791	simplified	韃	
鞒	U+9792	simplified	鞽	
鞯	U+97AF	simplified	韉	
韦	U+97E6	simplified	韋	
韧	U+97E7	simplified	韌	
韩	U+97E9	simplified	韓	
韪	U+97EA	simplified	韙	
韫	U+97EB	simplified	韞	
韬	U+97EC	simplified	韜	
韵	U+97F5	simplified	韻	
页	U+9875	simplified	頁	
顶	U+9876	simplified	頂	
顷	U+9877	simplified	頃	
顸	U+9878	simplified	頇	
项	U+9879	simplified	項	
顺	U+987A	simplified	順	
须	U+987B	simplified	須鬚	
顼	U+987C	simplified	頊	
顽	U+987D	simplified	頑	
顾	U+987E	simplified	顧	
顿	U+987F	simplified	頓	
颀	U+9880	simplified	頎	
颁	U+9881	simplified	頒	
颂	U+9882	simplified	頌	
颃	U+9883	simplified	頏	
预	U+9884	simplified	預	
颅	U+9885	simplified	顱	
领	U+9886	simplified	領	
颇	U+9887	simplified	頗	
颈	U+9888	simplified	頸	
颉	U+9889	simplified	頡	
颊	U+988A	simplified	頰	
颌	U+988C	simplified	頜	
颍	U+988D	simplified	潁	
颏	U+988F	simplified	頦	
颐	U+9890	simplified	頤	
频	U+9891	simplified	頻	
颓	U+9893	simplified	頹頽	
颔	U+9894	simplified	頷	
颖	U+9896	simplified	穎	
颗	U+9897	simplified	顆	
题	U+9898	simplified	題	
颚	U+989A	simplified	顎	
颛	U+989B	simplified	顓	
颜	U+989C	simplified	顏顔	
额	U+989D	simplified	額	
颞	U+989E	simplified	顳	
颟	U+989F	simplified	顢	
颠	U+98A0	simplified	顛	
颡	U+98A1	simplified	顙	
颢	U+98A2	simplified	顥	
颤	U+98A4	simplified	顫	
颥	U+98A5	simplified	顬	
颦	U+98A6	simplified	顰	
颧	U+98A7	simplified	顴	
风	U+98CE	simplified	風	
飐	U+98D0	simplified	颭	
飑	U+98D1	simplified	颮	
飒	U+98D2	simplified	颯	
飓	U+98D3	simplified	颶	
飕	U+98D5	simplified	颼	
飖	U+98D6	simplified	颻	
飘	U+98D8	simplified	飄	
飙	U+98D9	simplified	飆	
飚	U+98DA	simplified	飈	
飞	U+98DE	simplified	飛	
飨	U+98E8	simplified	饗	
餍	U+990D	simplified	饜	
饣	U+9963	simplified	飠	
饥	U+9965	simplified	飢饑	
饧	U+9967	simplified	餳	
饨	U+9968	simplified	飩	
饩	U+9969	simplified	餼	
饪	U+996A	simplified	飪	
饫	U+996B	simplified	飫	
饬	U+996C	simplified	飭	
饭	U+996D	simplified	飯	
饮	U+996E	simplified	飲	
饯	U+996F	simplified	餞	
饰	U+9970	simplified	飾	
饱	U+9971	simplified	飽	
饲	U+9972	simplified	飼	
饴	U+9974	simplified	飴	
饵	U+9975	simplified	餌	
饶	U+9976	simplified	饒	
饷	U+9977	simplified	餉	
饸	U+9978	simplified	餄	
饹	U+9979	simplified	餎	
饺	U+997A	simplified	餃	
饼	U+997C	simplified	餅	
饽	U+997D	simplified	餑	
饿	U+997F	simplified	餓	
馀	U+9980	simplified	餘	
馁	U+9981	simplified	餒	
馂	U+9982	simplified	餕	
馄	U+9984	simplified	餛	
馅	U+9985	simplified	餡	
馆	U+9986	simplified	館	
馇	U+9987	simplified	餷	
馈	U+9988	simplified	饋	
馊	U+998A	simplified	餿	
馋	U+998B	simplified	饞	
馍	U+998D	simplified	饃	
馏	U+998F	simplified	餾	
馐	U+9990	simplified	饈	
馑	U+9991	simplified	饉	
馒	U+9992	simplified	饅	
馓	U+9993	simplified	饊	
馔	U+9994	simplified	饌	
馕	U+9995	simplified	饢	
马	U+9A6C	simplified	馬	
驭	U+9A6D	simplified	馭	
驮	U+9A6E	simplified	馱	
驯	U+9A6F	simplified	馴	
驰	U+9A70	simplified	馳	
驱	U+9A71	simplified	驅	
驳	U+9A73	simplified	駁	
驴	U+9A74	simplified	驢	
驵	U+9A75	simplified	駔	
驶	U+9A76	simplified	駛	
驷	U+9A77	simplified	駟	
驸	U+9A78	simplified	駙	
驹	U+9A79	simplified	駒	
驺	U+9A7A	simplified	騶	
驻	U+9A7B	simplified	駐	
驼	U+9A7C	simplified	駝	
驽	U+9A7D	simplified	駑	
驾	U+9A7E	simplified	駕	
驿	U+9A7F	simplified	驛	
骀	U+9A80	simplified	駘	
骁	U+9A81	simplified	驍	
骂	U+9A82	simplified	罵駡	
骄	U+9A84	simplified	驕	
骅	U+9A85	simplified	驊	
骆	U+9A86	simplified	駱	
骇	U+9A87	simplified	駭	
骈	U+9A88	simplified	駢	
骊	U+9A8A	simplified	驪	
骋	U+9A8B	simplified	騁	
验	U+9A8C	simplified	驗	
骏	U+9A8F	simplified	駿	
骐	U+9A90	simplified	騏	
骑	U+9A91	simplified	騎	
骒	U+9A92	simplified	騍	
骓	U+9A93	simplified	騅	
骕	U+9A95	simplified	驌	
骖	U+9A96	simplified	驂	
骗	U+9A97	simplified	騙	
骘	U+9A98	simplified	騭	
骚	U+9A9A	simplified	騷	
骛	U+9A9B	simplified	騖	
骜	U+9A9C	simplified	驁	
骝	U+9A9D	simplified	騮	
骞	U+9A9E	simplified	騫	
骟	U+9A9F	simplified	騸	
骠	U+9AA0	simplified	驃	
骡	U+9AA1	simplified	騾	
骢	U+9AA2	simplified	驄	
骣	U+9AA3	simplified	驏	
骤	U+9AA4	simplified	驟	
骥	U+9AA5	simplified	驥	
骦	U+9AA6	simplified	驦	
骧	U+9AA7	simplified	驤	
髅	U+9AC5	simplified	髏	
髋	U+9ACB	simplified	髖	
髌	U+9ACC	simplified	髕	
鬓	U+9B13	simplified	鬢	
魇	U+9B47	simplified	魘	
魉	U+9B49	simplified	魎	
鱼	U+9C7C	simplified	魚	
鱿	U+9C7F	simplified	魷	
鲁	U+9C81	simplified	魯	
鲂	U+9C82	simplified	魴	
鲃	U+9C83	simplified	䰾	
鲅	U+9C85	simplified	鮁	
鲆	U+9C86	simplified	鮃	
鲇	U+9C87	simplified	鮎	
鲈	U+9C88	simplified	鱸	
鲋	U+9C8B	simplified	鮒	
鲍	U+9C8D	simplified	鮑	
鲎	U+9C8E	simplified	鱟	
鲐	U+9C90	simplified	鮐	
鲑	U+9C91	simplified	鮭	
鲒	U+9C92	simplified	鮚	
鲔	U+9C94	simplified	鮪	
鲕	U+9C95	simplified	鮞	
鲗	U+9C97	simplified	鰂	
鲙	U+9C99	simplified	鱠	
鲚	U+9C9A	simplified	鱭	
鲛	U+9C9B	simplified	鮫	
鲜	U+9C9C	simplified	鮮	
鲞	U+9C9E	simplified	鮝鯗	
鲟	U+9C9F	simplified	鱘	
鲠	U+9CA0	simplified	鯁	
鲡	U+9CA1	simplified	鱺	
鲢	U+9CA2	simplified	鰱	
鲣	U+9CA3	simplified	鰹	
鲤	U+9CA4	simplified	鯉	
鲥	U+9CA5	simplified	鰣	
鲦	U+9CA6	simplified	鰷	
鲧	U+9CA7	simplified	鯀	
鲨	U+9CA8	simplified	鯊	
鲩	U+9CA9	simplified	鯇	
鲫	U+9CAB	simplified	鯽	
鲭	U+9CAD	simplified	鯖	
鲮	U+9CAE	simplified	鯪	
鲯	U+9CAF	simplified	鯕	
鲰	U+9CB0	simplified	鯫	
鲱	U+9CB1	simplified	鯡	
鲲	U+9CB2	simplified	鯤	
鲳	U+9CB3	simplified	鯧	
鲴	U+9CB4	simplified	鯝	
鲵	U+9CB5	simplified	鯢	
鲶	U+9CB6	simplified	鯰	
鲷	U+9CB7	simplified	鯛	
鲸	U+9CB8	simplified	鯨	
鲺	U+9CBA	simplified	鯴	
鲻	U+9CBB	simplified	鯔	
鲼	U+9CBC	simplified	鱝	
鲽	U+9CBD	simplified	鰈	
鳀	U+9CC0	simplified	鯷	
鳃	U+9CC3	simplified	鰓	
鳄	U+9CC4	simplified	鰐鱷	
鳅	U+9CC5	simplified	鰍	
鳆	U+9CC6	simplified	鰒	
鳇	U+9CC7	simplified	鰉	
鳊	U+9CCA	simplified	鯿	
鳋	U+9CCB	simplified	鰠	
鳌	U+9CCC	simplified	鰲	
鳍	U+9CCD	simplified	鰭	
鳎	U+9CCE	simplified	鰨	
鳏	U+9CCF	simplified	鰥	
鳐	U+9CD0	simplified	鰩	
鳑	U+9CD1	simplified	鰟	
鳓	U+9CD3	simplified	鰳	
鳔	U+9CD4	simplified	鰾	
鳕	U+9CD5	simplified	鱈	
鳖	U+9CD6	simplified	鱉	
鳗	U+9CD7	simplified	鰻	
鳘	U+9CD8	simplified	鰵	
鳙	U+9CD9	simplified	鱅	
鳜	U+9CDC	simplified	鱖	
鳝	U+9CDD	simplified	鱔	
鳞	U+9CDE	simplified	鱗	
鳟	U+9CDF	simplified	鱒	
鳢	U+9CE2	simplified	鱧	
鳣	U+9CE3	simplified	鱣	
鸟	U+9E1F	simplified	鳥	
鸠	U+9E20	simplified	鳩	
鸡	U+9E21	simplified	雞鷄	
鸢	U+9E22	simplified	鳶	
鸣	U+9E23	simplified	鳴	
鸥	U+9E25	simplified	鷗	
鸦	U+9E26	simplified	鴉	
鸧	U+9E27	simplified	鶬	
鸨	U+9E28	simplified	鴇	
鸩	U+9E29	simplified	鴆	
鸪	U+9E2A	simplified	鴣	
鸫	U+9E2B	simplified	鶇	
鸬	U+9E2C	simplified	鸕	
鸭	U+9E2D	simplified	鴨	
鸮	U+9E2E	simplified	鴞	
鸯	U+9E2F	simplified	鴦	
鸰	U+9E30	simplified	鴒	
鸱	U+9E31	simplified	鴟	
鸲	U+9E32	simplified	鴝	
鸳	U+9E33	simplified	鴛	
鸵	U+9E35	simplified	鴕	
鸶	U+9E36	simplified	鷥	
鸷	U+9E37	simplified	鷙	
鸸	U+9E38	simplified	鴯	
鸹	U+9E39	simplified	鴰	
鸺	U+9E3A	simplified	鵂	
鸻	U+9E3B	simplified	鴴	
鸽	U+9E3D	simplified	鴿	
鸾	U+9E3E	simplified	鸞	
鸿	U+9E3F	simplified	鴻	
鹁	U+9E41	simplified	鵓	
鹂	U+9E42	simplified	鸝	
鹃	U+9E43	simplified	鵑	
鹄	U+9E44	simplified	鵠	
鹅	U+9E45	simplified	鵝	
鹆	U+9E46	simplified	鵒	
鹇	U+9E47	simplified	鷳	
鹈	U+9E48	simplified	鵜	
鹉	U+9E49	simplified	鵡	
鹊	U+9E4A	simplified	鵲	
鹋	U+9E4B	simplified	鶓	
鹌	U+9E4C	simplified	鵪	
鹍	U+9E4D	simplified	鵾	
鹎	U+9E4E	simplified	鵯	
鹏	U+9E4F	simplified	鵬	
鹑	U+9E51	simplified	鶉	
鹒	U+9E52	simplified	鶊	
鹔	U+9E54	simplified	鷫	
鹕	U+9E55	simplified	鶘	
鹗	U+9E57	simplified	鶚	
鹘	U+9E58	simplified	鶻	
鹙	U+9E59	simplified	鶖	
鹚	U+9E5A	simplified	鷀	
鹛	U+9E5B	simplified	鶥	
鹜	U+9E5C	simplified	鶩	
鹞	U+9E5E	simplified	鷂	
鹠	U+9E60	simplified	鶹	
鹡	U+9E61	simplified	鶺	
鹣	U+9E63	simplified	鶼	
鹤	U+9E64	simplified	鶴	
鹦	U+9E66	simplified	鸚	
鹧	U+9E67	simplified	鷓	
鹨	U+9E68	simplified	鷚	
鹩	U+9E69	simplified	鷯	
鹪	U+9E6A	simplified	鷦	
鹫	U+9E6B	simplified	鷲	
鹬	U+9E6C	simplified	鷸	
鹭	U+9E6D	simplified	鷺	
鹮	U+9E6E	simplified	䴉	
鹰	U+9E70	simplified	鷹	
鹱	U+9E71	simplified	鸌	
鹳	U+9E73	simplified	鸛	
鹴	U+9E74	simplified	鸘	
鹾	U+9E7E	simplified	鹺	
麦	U+9EA6	simplified	麥	
麸	U+9EB8	simplified	麩	
黄	U+9EC4	simplified	黃	
黉	U+9EC9	simplified	黌	
黩	U+9EE9	simplified	黷	
黪	U+9EEA	simplified	黲	
黾	U+9EFE	simplified	黽	
鼋	U+9F0B	simplified	黿	
鼍	U+9F0D	simplified	鼉	
