# Source of truth for which script a glyph belongs to.
# script: simplified  = has a distinct traditional counterpart (国 <- 國)
#         traditional = has a distinct simplified counterpart  (國 -> 国)
# Anything absent from this file is `both` — unchanged between the scripts (人, 大, 一),
# which is the majority of the dictionary.
#
# counterpart is informational: the opposite-script form(s) Unihan records.
# Generated by scripts/build-script-classification.mjs — do not hand-edit; add an
# OVERRIDE there instead so a regeneration keeps the decision.
glyph	codepoint	script	counterpart	override
岭	U+5CAD	simplified	嶺	
岽	U+5CBD	simplified	崬	
岿	U+5CBF	simplified	巋	
峄	U+5CC4	simplified	嶧	
峡	U+5CE1	simplified	峽	
峤	U+5CE4	simplified	嶠	
峥	U+5CE5	simplified	崢	
峦	U+5CE6	simplified	巒	
崂	U+5D02	simplified	嶗	
崃	U+5D03	simplified	崍	
崭	U+5D2D	simplified	嶄	
嵘	U+5D58	simplified	嶸	
嵝	U+5D5D	simplified	嶁	
巅	U+5DC5	simplified	巔	
巩	U+5DE9	simplified	鞏	
巯	U+5DEF	simplified	巰	
币	U+5E01	simplified	幣	
帅	U+5E05	simplified	帥	
师	U+5E08	simplified	師	
帏	U+5E0F	simplified	幃	
帐	U+5E10	simplified	帳	
帘	U+5E18	simplified	簾	
帜	U+5E1C	simplified	幟	
带	U+5E26	simplified	帶	
帧	U+5E27	simplified	幀	
帮	U+5E2E	simplified	幫	
帱	U+5E31	simplified	幬	
帻	U+5E3B	simplified	幘	
帼	U+5E3C	simplified	幗	
幂	U+5E42	simplified	冪	
干	U+5E72	simplified	乾幹	
并	U+5E76	simplified	並併	
广	U+5E7F	simplified	廣	
庄	U+5E84	simplified	莊	
庆	U+5E86	simplified	慶	
庐	U+5E90	simplified	廬	
庑	U+5E91	simplified	廡	
库	U+5E93	simplified	庫	
应	U+5E94	simplified	應	
庙	U+5E99	simplified	廟	
庞	U+5E9E	simplified	龐	
废	U+5E9F	simplified	廢	
廪	U+5EEA	simplified	廩	
开	U+5F00	simplified	開	
异	U+5F02	simplified	異	
弃	U+5F03	simplified	棄	
弑	U+5F11	simplified	弒	
张	U+5F20	simplified	張	
弥	U+5F25	simplified	彌瀰	
弪	U+5F2A	simplified	弳	
弯	U+5F2F	simplified	彎	
弹	U+5F39	simplified	彈	
强	U+5F3A	simplified	強	
归	U+5F52	simplified	歸	
当	U+5F53	simplified	噹當	
录	U+5F55	simplified	錄録	
彝	U+5F5D	simplified	彞	
彟	U+5F5F	simplified	彠	
彦	U+5F66	simplified	彥	
彻	U+5F7B	simplified	徹	
征	U+5F81	simplified	徵	
径	U+5F84	simplified	徑	
徕	U+5F95	simplified	徠	
御	U+5FA1	simplified	禦	
忆	U+5FC6	simplified	憶	
忏	U+5FCF	simplified	懺	
志	U+5FD7	simplified	誌	
忧	U+5FE7	simplified	憂	
忾	U+5FFE	simplified	愾	
怀	U+6000	simplified	懷	
态	U+6001	simplified	態	
怂	U+6002	simplified	慫	
怃	U+6003	simplified	憮	
怄	U+6004	simplified	慪	
怅	U+6005	simplified	悵	
怆	U+6006	simplified	愴	
怜	U+601C	simplified	憐	
总	U+603B	simplified	總	
怼	U+603C	simplified	懟	
怿	U+603F	simplified	懌	
恋	U+604B	simplified	戀	
恒	U+6052	simplified	恆	
恳	U+6073	simplified	懇	
恶	U+6076	simplified	噁惡	
恸	U+6078	simplified	慟	
恹	U+6079	simplified	懨	
恺	U+607A	simplified	愷	
恻	U+607B	simplified	惻	
恼	U+607C	simplified	惱	
恽	U+607D	simplified	惲	
悦	U+60A6	simplified	悅	
悫	U+60AB	simplified	愨慤	
悬	U+60AC	simplified	懸	
悭	U+60AD	simplified	慳	
悯	U+60AF	simplified	憫	
惊	U+60CA	simplified	驚	
惧	U+60E7	simplified	懼	
惨	U+60E8	simplified	慘	
惩	U+60E9	simplified	懲	
惫	U+60EB	simplified	憊	
惬	U+60EC	simplified	愜	
惭	U+60ED	simplified	慚	
惮	U+60EE	simplified	憚	
惯	U+60EF	simplified	慣	
愠	U+6120	simplified	慍	
愤	U+6124	simplified	憤	
愦	U+6126	simplified	憒	
愿	U+613F	simplified	願	
慑	U+6151	simplified	懾	
懑	U+61D1	simplified	懣	
懒	U+61D2	simplified	懶	
懔	U+61D4	simplified	懍	
戆	U+6206	simplified	戇	
戋	U+620B	simplified	戔	
戏	U+620F	simplified	戲	
戗	U+6217	simplified	戧	
战	U+6218	simplified	戰	
戬	U+622C	simplified	戩	
户	U+6237	simplified	戶	
才	U+624D	simplified	纔	
扑	U+6251	simplified	撲	
执	U+6267	simplified	執	
扩	U+6269	simplified	擴	
扪	U+626A	simplified	捫	
扫	U+626B	simplified	掃	
扬	U+626C	simplified	揚	
扰	U+6270	simplified	擾	
折	U+6298	simplified	摺	
抚	U+629A	simplified	撫	
抛	U+629B	simplified	拋	
抟	U+629F	simplified	摶	
抠	U+62A0	simplified	摳	
抡	U+62A1	simplified	掄	
抢	U+62A2	simplified	搶	
护	U+62A4	simplified	護	
报	U+62A5	simplified	報	
担	U+62C5	simplified	擔	
拟	U+62DF	simplified	擬	
拢	U+62E2	simplified	攏	
拣	U+62E3	simplified	揀	
拥	U+62E5	simplified	擁	
拦	U+62E6	simplified	攔	
拧	U+62E7	simplified	擰	
拨	U+62E8	simplified	撥	
择	U+62E9	simplified	擇	
挂	U+6302	simplified	掛	
挚	U+631A	simplified	摯	
挛	U+631B	simplified	攣	
挝	U+631D	simplified	撾	
挞	U+631E	simplified	撻	
挟	U+631F	simplified	挾	
挠	U+6320	simplified	撓	
挡	U+6321	simplified	擋	
挢	U+6322	simplified	撟	
挣	U+6323	simplified	掙	
挤	U+6324	simplified	擠	
挥	U+6325	simplified	揮	
挽	U+633D	simplified	輓	
捞	U+635E	simplified	撈	
损	U+635F	simplified	損	
捡	U+6361	simplified	撿	
换	U+6362	simplified	換	
捣	U+6363	simplified	搗	
据	U+636E	simplified	據	
掳	U+63B3	simplified	擄	
掴	U+63B4	simplified	摑	
掷	U+63B7	simplified	擲	
掸	U+63B8	simplified	撣	
掺	U+63BA	simplified	摻	
掼	U+63BC	simplified	摜	
揽	U+63FD	simplified	攬	
揿	U+63FF	simplified	撳	
搀	U+6400	simplified	攙	
搁	U+6401	simplified	擱	
搂	U+6402	simplified	摟	
搅	U+6405	simplified	攪	
携	U+643A	simplified	攜	
摄	U+6444	simplified	攝	
摅	U+6445	simplified	攄	
摆	U+6446	simplified	擺襬	
摇	U+6447	simplified	搖	
摈	U+6448	simplified	擯	
摊	U+644A	simplified	攤	
撄	U+6484	simplified	攖	
撑	U+6491	simplified	撐	
撵	U+64B5	simplified	攆	
撷	U+64B7	simplified	擷	
撸	U+64B8	simplified	擼	
撺	U+64BA	simplified	攛	
擞	U+64DE	simplified	擻	
